config_id,candidate_name,entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,risk_per_unit_pct,exposure_profile,max_total_lots,max_account_leverage,max_open_risk_pct,symbol_drawdown_pause_pct,portfolio_drawdown_pause_pct,drawdown_policy,expectancy,profit_factor,max_drawdown_pct,net_profit,trade_count,max_exposure_pct,all_symbols_positive_expectancy,drawdown_gate_passed
960,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.25,0.25,symbol_and_portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
981,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,,,none,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
982,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.15,,symbol_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
983,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.2,,symbol_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
984,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.25,,symbol_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
985,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,,0.15,portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
986,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,,0.2,portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
987,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,,0.25,portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
988,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.15,0.15,symbol_and_portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
989,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.2,0.2,symbol_and_portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
990,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_2_lots_2x,2.0,2.0,0.01,0.25,0.25,symbol_and_portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
1011,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.0025,base_10_lots_5x,10.0,5.0,0.01,,,none,9.796651495921978,1.5258289169720711,0.09173026446562621,2488.349479964185,254,0.9111054752285449,True,True
1012,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.0025,base_10_lots_5x,10.0,5.0,0.01,0.15,,symbol_pause_15,9.796651495921978,1.5258289169720711,0.09173026446562621,2488.349479964185,254,0.9111054752285449,True,True
1013,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.0025,base_10_lots_5x,10.0,5.0,0.01,0.2,,symbol_pause_20,9.796651495921978,1.5258289169720711,0.09173026446562621,2488.349479964185,254,0.9111054752285449,True,True
1014,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.0025,base_10_lots_5x,10.0,5.0,0.01,0.25,,symbol_pause_25,9.796651495921978,1.5258289169720711,0.09173026446562621,2488.349479964185,254,0.9111054752285449,True,True
